,City,Population,Total_Employees,Total_Officers,Total_Civilians,Total_Crime
275,Sausalito,7182,23.0,18.0,5.0,268.0
276,Scotts Valley,11926,28.0,20.0,8.0,
277,Seal Beach,24800,46.0,31.0,15.0,
278,Seaside,34459,47.0,37.0,10.0,641.0
279,Sebastopol,7725,19.0,14.0,5.0,
280,Selma,24532,42.0,33.0,9.0,1248.0
281,Shafter,17690,33.0,22.0,11.0,681.0
282,Sierra Madre,11226,18.0,15.0,3.0,128.0
283,Signal Hill,11655,44.0,32.0,12.0,842.0
284,Simi Valley,127472,178.0,122.0,56.0,
285,Soledad,25170,19.0,17.0,2.0,355.0
286,Sonora,4779,19.0,13.0,6.0,
287,South Gate,96775,118.0,78.0,40.0,
288,South Lake Tahoe,21558,51.0,35.0,16.0,
289,South Pasadena,26287,43.0,31.0,12.0,
290,South San Francisco,67843,110.0,81.0,29.0,1578.0
291,Stallion Springs,2611,3.0,3.0,0.0,19.0
292,St. Helena,6028,17.0,12.0,5.0,101.0
293,Stockton,304890,571.0,389.0,182.0,17120.0
294,Suisun City,29539,29.0,19.0,10.0,953.0
295,Sunnyvale,152443,284.0,214.0,70.0,2513.0
296,Susanville,15045,17.0,15.0,2.0,
297,Sutter Creek,2457,4.0,4.0,0.0,
298,Taft,8819,80.0,72.0,8.0,391.0
299,Tehachapi,12971,18.0,15.0,3.0,382.0
300,Tiburon,9288,16.0,13.0,3.0,
301,Torrance,149243,314.0,212.0,102.0,
302,Tracy,86477,122.0,83.0,39.0,2571.0
303,Truckee,16331,34.0,24.0,10.0,178.0
304,Tulare,62475,109.0,71.0,38.0,2305.0
305,Tulelake,983,3.0,3.0,0.0,
306,Turlock,71895,111.0,74.0,37.0,
307,Tustin,81953,140.0,91.0,49.0,
308,Ukiah,15969,49.0,32.0,17.0,673.0
309,Union City,74648,97.0,73.0,24.0,1908.0
310,Upland,76581,91.0,67.0,24.0,2616.0
311,Vacaville,96693,149.0,96.0,53.0,2408.0
312,Vallejo,121257,145.0,108.0,37.0,6017.0
313,Ventura,110077,165.0,126.0,39.0,4274.0
314,Vernon,115,49.0,37.0,12.0,
315,Visalia,130405,202.0,138.0,64.0,4603.0
316,Walnut Creek,68530,111.0,81.0,30.0,2631.0
317,Watsonville,53581,88.0,66.0,22.0,2233.0
318,Weed,2836,14.0,9.0,5.0,146.0
319,West Covina,109030,150.0,89.0,61.0,3245.0
320,Westminster,92640,119.0,86.0,33.0,3253.0
321,Westmorland,2278,5.0,5.0,0.0,
322,West Sacramento,52622,76.0,58.0,18.0,1768.0
323,Wheatland,3482,7.0,7.0,0.0,60.0
324,Whittier,87807,169.0,118.0,51.0,
325,Williams,5205,12.0,10.0,2.0,
326,Willits,4856,16.0,11.0,5.0,130.0
327,Willows,6074,9.0,8.0,1.0,230.0
328,Winters,7023,13.0,11.0,2.0,135.0
329,Woodlake,7751,13.0,12.0,1.0,
330,Woodland,57911,77.0,62.0,15.0,2063.0
331,Yreka,7507,19.0,13.0,6.0,356.0
332,Yuba City,65974,78.0,54.0,24.0,2008.0
